id	group_id	label	text
greeting-001	greeting-family-01	greeting	Hello, it is nice to meet you
greeting-002	greeting-family-01	greeting	Hi, I am pleased to meet you
greeting-003	greeting-family-02	greeting	Good morning, I hope your day is starting well
greeting-004	greeting-family-02	greeting	A warm morning greeting to you
greeting-005	greeting-family-03	greeting	Good afternoon, I have just arrived
greeting-006	greeting-family-03	greeting	Wishing you a pleasant afternoon
greeting-007	greeting-family-04	greeting	Good evening, thanks for making time
greeting-008	greeting-family-04	greeting	I wanted to wish you a pleasant evening
greeting-009	greeting-family-05	greeting	Welcome back after the break
greeting-010	greeting-family-05	greeting	Your return is a welcome sight
greeting-011	greeting-family-06	greeting	I am glad we can begin this conversation
greeting-012	greeting-family-06	greeting	It is a pleasure to start our conversation
greeting-013	greeting-family-07	greeting	Greetings from the local lab
greeting-014	greeting-family-07	greeting	Salutations from this small experiment
greeting-015	greeting-family-08	greeting	Hey, how have things been lately
greeting-016	greeting-family-08	greeting	It has been ages; how are things with you?
greeting-017	greeting-family-01	greeting	Hello, I am happy to make your acquaintance
greeting-018	greeting-family-02	greeting	Rise and shine; sending you a morning hello
greeting-019	greeting-family-03	greeting	Good afternoon, welcome to the session
greeting-020	greeting-family-04	greeting	The night has arrived, so let me offer a warm hello
greeting-021	greeting-family-05	greeting	Welcome back, it is nice to see you again
greeting-022	greeting-family-06	greeting	Hello, I appreciate you joining this conversation
greeting-023	greeting-family-07	greeting	A friendly greeting from our offline project
greeting-024	greeting-family-08	greeting	Hi again, it has been a while
greeting-025	greeting-family-09	greeting	Hello there, thanks for stopping by
greeting-026	greeting-family-09	greeting	Hi there, thank you for visiting
greeting-027	greeting-family-09	greeting	Hey there, thanks for coming in
greeting-028	greeting-family-10	greeting	Welcome, this must be your first visit
greeting-029	greeting-family-10	greeting	A warm welcome on your first time here
greeting-030	greeting-family-10	greeting	We are delighted you chose us for your first visit
greeting-031	greeting-family-11	greeting	Good day to the whole project team
greeting-032	greeting-family-11	greeting	Greetings to everyone on the team
greeting-033	greeting-family-11	greeting	Hello to all of you working on the project
greeting-034	greeting-family-12	greeting	Dear colleagues, I hope this message finds you well
greeting-035	greeting-family-12	greeting	Hello team, thank you for reading my note
greeting-036	greeting-family-12	greeting	Good day, I am writing with a brief update
greeting-037	greeting-family-13	greeting	Hi, I wanted to say hello before we start
greeting-038	greeting-family-13	greeting	A quick hello before we get to work
greeting-039	greeting-family-13	greeting	Hey, let me greet you before we begin
greeting-040	greeting-family-14	greeting	Welcome aboard, we are glad you joined
greeting-041	greeting-family-14	greeting	Hello and welcome to our new participant
greeting-042	greeting-family-14	greeting	A warm welcome to the newest person here
greeting-043	greeting-family-15	greeting	Hey, I spotted you across the room
greeting-044	greeting-family-15	greeting	Hi, nice seeing you here
greeting-045	greeting-family-15	greeting	Your arrival brightened the room; hello
greeting-046	greeting-family-07	greeting	Hello from this small local demonstration
greeting-047	greeting-family-07	greeting	Greetings from our compact offline lab
greeting-048	greeting-family-08	greeting	Hey again, how have you been
greeting-049	greeting-family-08	greeting	How have you been? It has been too long
greeting-050	greeting-family-09	greeting	Hello there, I am glad you stopped by
greeting-051	greeting-family-09	greeting	Hi there, welcome in and make yourself comfortable
greeting-052	greeting-family-10	greeting	Welcome to the lab on your first visit
greeting-053	greeting-family-10	greeting	Hello, and a special welcome for joining us today
greeting-054	greeting-family-11	greeting	Good day, everyone on the engineering team
greeting-055	greeting-family-11	greeting	Hello to each member of our project group
greeting-056	greeting-family-12	greeting	Dear reader, I appreciate your time today
greeting-057	greeting-family-12	greeting	Hello from my desk; I hope all is well on your side
greeting-058	greeting-family-13	greeting	A quick greeting before today's work begins
greeting-059	greeting-family-13	greeting	Hi, let me welcome you before we get started
