# input	expected prediction JSON (top three positive features)
Today I feel calm	{"label":"feeling","accepted":true,"confidence":0.6439279174041079,"margin":0.5732104059833881,"probabilities":{"feeling":0.6439279174041079,"goal":0.051645755589022735,"greeting":0.06118535955174273,"observation":0.05177141837652932,"ownership":0.057590116129414504,"question":0.07071751142071984,"reason":0.06316192152846303},"top_features":[{"feature":"c3:eel","value":0.31257504309043116,"weight":0.919975929754,"contribution":0.287561515885016},{"feature":"c3:fee","value":0.31257504309043116,"weight":0.919975929754,"contribution":0.287561515885016},{"feature":"c4: fee","value":0.31257504309043116,"weight":0.919975929754,"contribution":0.287561515885016}]}
My schedule changed this morning	{"label":"ownership","accepted":true,"confidence":0.4791213329342326,"margin":0.37454684872388594,"probabilities":{"feeling":0.10117449982860226,"goal":0.05145092471705216,"greeting":0.09839895140959122,"observation":0.06486236203559839,"ownership":0.4791213329342326,"question":0.10041744486457684,"reason":0.10457448421034665},"top_features":[{"feature":"c3:^my","value":0.12172181893382253,"weight":2.13446426362,"contribution":0.2598108726170685},{"feature":"c4:^my ","value":0.12172181893382253,"weight":2.13446426362,"contribution":0.2598108726170685},{"feature":"c3:my ","value":0.11880863102622957,"weight":2.055335746343,"contribution":0.2441916263222857}]}
Hello there	{"label":"greeting","accepted":true,"confidence":0.8450349859378737,"margin":0.8107403701221638,"probabilities":{"feeling":0.02650730591107369,"goal":0.021245046189747513,"greeting":0.8450349859378737,"observation":0.023602550952542805,"ownership":0.023391446065489832,"question":0.03429461581570991,"reason":0.025924049127562413},"top_features":[{"feature":"c4:here","value":0.32843175383187306,"weight":1.238651660127,"contribution":0.4068125371222717},{"feature":"c3:ere","value":0.3131263290904783,"weight":1.12793977961,"contribution":0.3531876426244024},{"feature":"c3:ell","value":0.3471640797905794,"weight":1.016984582248,"contribution":0.3530605166573337}]}
I want to finish the prototype this week	{"label":"goal","accepted":true,"confidence":0.5500323567684133,"margin":0.4348690057020119,"probabilities":{"feeling":0.11407828037244018,"goal":0.5500323567684133,"greeting":0.04971044609749132,"observation":0.07011897463398499,"ownership":0.041743913594572774,"question":0.11516335106640138,"reason":0.05915267746669604},"top_features":[{"feature":"c3: to","value":0.11371483856154703,"weight":1.290332829494,"contribution":0.1467299893965744},{"feature":"c3:to ","value":0.11610032997615355,"weight":1.248277090397,"contribution":0.14492538209676456},{"feature":"c4: to ","value":0.11610032997615355,"weight":1.248277090397,"contribution":0.14492538209676456}]}
The meeting ended twenty minutes early	{"label":"observation","accepted":true,"confidence":0.577477091749304,"margin":0.44390217402638804,"probabilities":{"feeling":0.08245768387771535,"goal":0.06669388652916938,"greeting":0.0448672053288058,"observation":0.577477091749304,"ownership":0.049569871803978045,"question":0.04535934298811173,"reason":0.1335749177229159},"top_features":[{"feature":"c4:^the","value":0.15248305920004762,"weight":1.344546748367,"contribution":0.20502060142847678},{"feature":"c5:^the ","value":0.15248305920004762,"weight":1.344546748367,"contribution":0.20502060142847678},{"feature":"c3:^th","value":0.14284373811030399,"weight":1.169980409541,"contribution":0.1671243752146608}]}
Calculate the orbital period of a satellite at this altitude	{"label":"question","accepted":false,"confidence":0.2702603076596085,"margin":0.05700292905776491,"probabilities":{"feeling":0.13135474819095913,"goal":0.2132573786018436,"greeting":0.08605190829546888,"observation":0.10066259202706421,"ownership":0.09035190326137567,"question":0.2702603076596085,"reason":0.10806116196367993},"top_features":[{"feature":"c3: th","value":0.13982784245572216,"weight":0.768123326653,"contribution":0.10740502750580089},{"feature":"c4: thi","value":0.18193508328814834,"weight":0.559946009161,"contribution":0.10187382381357281},{"feature":"c5: this","value":0.18193508328814834,"weight":0.559946009161,"contribution":0.10187382381357281}]}
🪐🛰️🧪	{"label":"greeting","accepted":false,"confidence":0.17432426509171597,"margin":0.021908980271614864,"probabilities":{"feeling":0.1524152848201011,"goal":0.11749002983389877,"greeting":0.17432426509171597,"observation":0.1343960244337579,"ownership":0.14297579057532825,"question":0.14632088269649454,"reason":0.1320777225487034},"top_features":[]}
the a''b ended early	{"label":"observation","accepted":true,"confidence":0.563766470845121,"margin":0.35387113438087653,"probabilities":{"feeling":0.07950834349238581,"goal":0.06126221334724363,"greeting":0.027790488266951383,"observation":0.563766470845121,"ownership":0.021432683618592834,"question":0.036344463965460906,"reason":0.20989533646424446},"top_features":[{"feature":"c4:^the","value":0.3398756941254607,"weight":1.344546748367,"contribution":0.45697875938536525},{"feature":"c5:^the ","value":0.3398756941254607,"weight":1.344546748367,"contribution":0.45697875938536525},{"feature":"c3:^th","value":0.31839021919164073,"weight":1.169980409541,"contribution":0.3725103190436846}]}
I don’t know why it’s changing	{"label":"feeling","accepted":false,"confidence":0.24814797542113579,"margin":0.025372692134477348,"probabilities":{"feeling":0.24814797542113579,"goal":0.11552176356486715,"greeting":0.10191427420671524,"observation":0.07612496111126994,"ownership":0.15973582960704047,"question":0.07577991280231294,"reason":0.22277528328665844},"top_features":[{"feature":"c3:^i ","value":0.18484782596683244,"weight":0.748802763635,"contribution":0.13841456293588564},{"feature":"w1:i","value":0.17535076933105562,"weight":0.637926644943,"contribution":0.1118609279675342},{"feature":"c3: ch","value":0.24198392924673384,"weight":0.235110196823,"contribution":0.0568928892332025}]}
'''Hello''' there	{"label":"greeting","accepted":true,"confidence":0.8450349859378737,"margin":0.8107403701221638,"probabilities":{"feeling":0.02650730591107369,"goal":0.021245046189747513,"greeting":0.8450349859378737,"observation":0.023602550952542805,"ownership":0.023391446065489832,"question":0.03429461581570991,"reason":0.025924049127562413},"top_features":[{"feature":"c4:here","value":0.32843175383187306,"weight":1.238651660127,"contribution":0.4068125371222717},{"feature":"c3:ere","value":0.3131263290904783,"weight":1.12793977961,"contribution":0.3531876426244024},{"feature":"c3:ell","value":0.3471640797905794,"weight":1.016984582248,"contribution":0.3530605166573337}]}
Café meeting ended ٣ minutes early	{"label":"observation","accepted":false,"confidence":0.3157739100834382,"margin":0.1645254256037454,"probabilities":{"feeling":0.1512484844796928,"goal":0.105439304566717,"greeting":0.10817712857612248,"observation":0.3157739100834382,"ownership":0.111490633160456,"question":0.09023999653026114,"reason":0.11763054260331252},"top_features":[{"feature":"c3:min","value":0.3654499307773268,"weight":0.566907780889,"contribution":0.20717640928301298},{"feature":"c3:s e","value":0.3457309344196474,"weight":0.48482145894,"contribution":0.16761777602602293},{"feature":"c3:ing","value":0.2486475475542034,"weight":0.477779694971,"contribution":0.11879874942573451}]}
Café meeting ended early	{"label":"observation","accepted":false,"confidence":0.25100743262271863,"margin":0.0536403745528031,"probabilities":{"feeling":0.19736705806991553,"goal":0.1377730073543567,"greeting":0.1270513642458754,"observation":0.25100743262271863,"ownership":0.08679243559323602,"question":0.06686640064544476,"reason":0.13314230146845285},"top_features":[{"feature":"c3:ing","value":0.3346627113211135,"weight":0.477779694971,"contribution":0.15989504813316943},{"feature":"c4:ing ","value":0.37155217130898033,"weight":0.393049883589,"contribution":0.1460385376802349},{"feature":"c3:ed ","value":0.2692408511939776,"weight":0.410586657876,"contribution":0.11054670125542472}]}
